community_clusters,hashtags_of_community_clusters,score_of_community_clusters,k_mean_clusters,hashtags_of_k_mean_clusters,score_of_k_mean_clusters,levenshtein_clusters,hashtags_of_levenshtein_clusters,score_of_levenshtein_clusters,best_clusters,hashtags_of_best_clusters,score_of_best_clusters
community cluster 411,"['goodmorning', 'cookies', 'christmas', 'love', 'healthylifestyle', 'cocktails', 'christmastime', 'drinks']",56.0,k mean cluster 411,['silviawolfsgruber'],1.875,levenshtein cluster 411,"['goodtimes', 'goodlife', 'uaelife', 'gymlife', 'unilife', 'dubailife', 'foodies']",13.5,,,
community cluster 412,"['goodmorning', 'nature', 'photography', 'hotchocolate', 'instagood', 'healthyfood', 'deliciousfood', 'fashion']",71.0,k mean cluster 412,"['sweetlife', 'shoreline', 'sushiforlife', 'visualsoflife', 'studentlife', 'bosslife', 'shoesstyle', 'forestlife']",9.0,levenshtein cluster 412,"['musicvideo', 'musiclife']",10.5,,,
community cluster 413,"['goodmorning', 'photooftheday', 'like', 'travel', 'foodblogger', 'landscape', 'yummy', 'art']",66.0,k mean cluster 413,"['life', 'vfx', 'nfl', 'bff', 'bfc']",11.0,levenshtein cluster 413,"['great', 'green', 'best', 'onset', 'sweet', 'tee', 'wein', 'sport', 'split']",22.75,,,
community cluster 414,"['goodmorning', 'merrychristmas', 'cider', 'apple', 'icetea', 'applecider', 'cidergram', 'teatime']",32.0,k mean cluster 414,"['noctua', 'jocky', 'douchbags', 'matcha', 'tchau', 'lchf', 'kombucha', 'kochen', 'küche', 'woche', 'ocean', 'yacht']",11.0,levenshtein cluster 414,"['süßes', 'zeit', 'sleepy', 'trees', 'xeen', 'shoot', 'sweet', 'stadt', 'meat']",14.875,,,
community cluster 415,"['winter', 'wandern', 'healthylifestyle', 'photography', 'coffeelover', 'drink', 'drinks', 'teatime']",60.0,k mean cluster 415,"['gesundeernährung', 'nahrungsergaenzung', 'leistungssteigerung', 'ketogeneernährung', 'ketogeneernaehrung', 'pflanzlicheernährung']",8.75,levenshtein cluster 415,"['nye', 'bowl', 'beer', 'brot', 'team', 'new', 'wein', 'break', 'bbq']",30.625,,,
community cluster 416,"['photooftheday', 'detox', 'travel', 'merrychristmas', 'teatime', 'yummy', 'art']",65.25,k mean cluster 416,"['bewusstsein', 'lebedeinswahrheit', 'bewusstwerdung', 'bergweisheiten', 'bewusstshoppen', 'bewusstleben', 'upbeatsforthewin']",9.0,levenshtein cluster 416,"['bay', 'green', 'chef', 'igers', 'reels', 'beer', 'lend', 'news', 'bmw']",20.125,,,
community cluster 417,"['christmas', 'love', 'drinks', 'geschenke', 'merrychristmas', 'party', 'liquor', 'drinkstagram']",60.0,k mean cluster 417,"['backblogger', 'backflip', 'bachelor', 'beachclub', 'bierblog']",6.875,levenshtein cluster 417,"['beats', 'blog', 'dec', 'cider', 'hvar', 'beer', 'deko', 'eis', 'meow']",17.5,,,
community cluster 418,"['bbq', 'merrychristmas', 'photography', 'hotchocolate', 'christmastime', 'instagood', 'beautiful', 'fashion']",60.0,k mean cluster 418,"['femalefuturefestivalgraz', 'femalefutureforce', 'fifteensecondsfestival']",4.875,levenshtein cluster 418,"['tester', 'zeit', 'trees', 'fair', 'red', 'band', 'beer', 'cover', 'meat']",17.5,,,
community cluster 419,"['naturephotography', 'japan', 'geschenke', 'essenmachtglücklich', 'merrychristmas', 'cake', 'sonnenuntergang', 'yummy']",41.0,k mean cluster 419,"['keepexploring', 'keepsmiling', 'reopening']",13.0,levenshtein cluster 419,"['benq', 'bts', 'beer', 'gin', 'blue', 'razer', 'dell', 'brrrt', 'ikea']",13.125,,,
community cluster 420,"['christmas', 'love', 'drinks', 'geschenke', 'nature', 'party', 'sonnenuntergang', 'tradition']",70.0,k mean cluster 420,"['socialmediafürgastronomie', 'socialmediastrategy']",3.5,levenshtein cluster 420,"['mut', 'bar', 'nye', 'like', 'tee', 'gin', 'new', 'ginger', 'bbq']",28.0,,,
community cluster 421,"['photooftheday', 'geschenke', 'photography', 'instagood', 'sonnenuntergang', 'fashion', 'art']",74.25,k mean cluster 421,"['weihnachtsgeschenke', 'geburtstagsgeschenk', 'erfrischungsgetraenk', 'dasperfektegeschenk', 'elektrofachgeschäft']",6.875,levenshtein cluster 421,"['wow', 'bay', 'kids', 'green', 'gin', 'krk', 'vibe', 'girls', 'dog']",20.125,,,
community cluster 422,"['cocktail', 'frühstück', 'essenmachtglücklich', 'cocktails', 'food', 'pumpkin', 'healthyfood', 'drinks']",54.0,k mean cluster 422,"['fasching', 'nowhining', 'spring', 'musikbingo', 'Musikbingo', 'voting', 'mixing', 'swimming', 'uprising']",17.5,levenshtein cluster 422,"['job', 'minze', 'dec', 'lgbt', 'bye', 'nike', 'gin', 'lend', 'bmw']",17.5,,,
community cluster 423,"['naturephotography', 'like', 'bbq', 'foodblogger', 'essenmachtglücklich', 'party', 'instadrink', 'matcha']",35.0,k mean cluster 423,"['sunsetsaturday', 'sunflower', 'nuncamaiselevaiter', 'sushilover', 'musiclover', 'sunriselovers']",8.75,levenshtein cluster 423,"['zeit', 'milk', 'pop', 'bingo', 'band', 'game', 'gin', 'hund', 'soon']",17.5,,,
community cluster 424,"['friends', 'catsofinstagram', 'drinks', 'party', 'food', 'enjoy', 'cat', 'sonnenuntergang']",58.0,k mean cluster 424,"['spirituality', 'holidayparty', 'socavalley', 'Hospitality', 'kulinarik', 'southafrica', 'salzburgcity', 'noidentity']",8.0,levenshtein cluster 424,"['fair', 'red', 'moon', 'newin', 'bier', 'gin', 'uk', 'see', 'town']",16.625,,,
community cluster 425,"['frühstück', 'love', 'wandern', 'nature', 'clouds', 'salami', 'healthyfood', 'sonnenuntergang']",66.0,k mean cluster 425,"['wantback', 'olivensnack', 'feedback', 'vollergeschmack', 'fillupthetank', 'iceicebaby', 'weareback']",9.0,levenshtein cluster 425,"['öbb', 'jp', 'grow', 'uae', 'gin', 'bf', 'flir', 'usa', 'dxb']",10.5,,,
community cluster 426,"['beautifulnature', 'cocktails', 'cheers', 'sunset', 'drink', 'drinks', 'alcohol', 'break']",44.0,k mean cluster 426,"['cannabrother', 'partnerbetrieb', 'plainawesome']",4.875,levenshtein cluster 426,"['atp', 'cpu', 'vfx', 'gala', 'gin', 'c4d', 'em', 'TOP', 'dji']",10.5,,,
community cluster 427,"['clouds', 'icetea', 'sunset', 'landscape', 'handmade', 'forest', 'deliciousfood', 'fashion']",43.0,k mean cluster 427,"['zlatanibrahimovic', 'savethenight', 'whataview', 'fuckupnights', 'sheertights', 'whatveganseat', 'latenight', 'humanrights', 'aboutlastnight']",10.5,levenshtein cluster 427,"['ligt', 'dp', 'a7s', 'xeen', 'gin', 'xmas', 'bbq', 'ronin']",17.0,,,
community cluster 428,"['naturephotography', 'friends', 'beautifulnature', 'hiking', 'travel', 'nature', 'photography', 'clouds']",77.0,k mean cluster 428,"['town', 'pool', 'food', 'meow', 'morena', 'mohn', 'GoRun', 'cool', 'Cool', 'corona', 'mode', 'moody', 'moda', 'oodn', 'moresoon', 'mood', 'fullmoon', 'Corona', 'moinmoin', 'lagoon', 'neon', 'hood']",0,levenshtein cluster 428,"['memes', 'mut', 'bar', 'kids', 'team', 'xmas', 'mate', 'news', 'Graz']",26.25,,,
community cluster 429,"['naturephotography', 'beautifulnature', 'travel', 'love', 'cocktails', 'beautiful', 'deliciousfood', 'landscape']",63.0,k mean cluster 429,"['culture', 'pizzacaprese', 'guiltfree', 'spicewise', 'picturelove', 'pinterest', 'fitcouple', 'popculture', 'privatsphäre', 'victoria', 'foodpicture', 'architecture']",6.5,levenshtein cluster 429,"['beats', 'bay', 'chai', 'jan', 'mare', 'hvar', 'xmas', 'bmw', 'eis']",17.5,,,
community cluster 430,"['naturephotography', 'friends', 'cookies', 'wandern', 'healthylifestyle', 'party', 'food', 'healthyfood']",61.0,k mean cluster 430,"['firststop', 'barefoot', 'smartfood', 'waitforit', 'fitfood', 'streetfood', 'bestfood', 'ınstagood', 'fastfoodporn', 'easyfood', 'rawfood']",10.0,levenshtein cluster 430,"['jeans', 'mut', 'bts', 'alps', 'dp', 'a7s', 'bowl', 'xmas', 'dell']",16.625,,,
community cluster 431,"['naturephotography', 'winter', 'photooftheday', 'hiking', 'nature', 'photography', 'instagood', 'fashion']",83.0,k mean cluster 431,"['amazing', 'encaracolados', 'ananas', 'tsambikamonastery']",9.0,levenshtein cluster 431,"['sonnenuntergang', 'zumsonnenuntergang']",8.75,,,
community cluster 432,"['naturephotography', 'travel', 'forest', 'wood', 'party', 'beautiful', 'landscape', 'art']",59.0,k mean cluster 432,['süsskartoffel'],1.875,levenshtein cluster 432,"['catsofinstagram', 'artofinstagram']",10.5,,,
community cluster 433,"['friends', 'catsofinstagram', 'mixology', 'party', 'food', 'enjoy', 'drink', 'cat']",52.0,k mean cluster 433,"['portraitvisuals', 'postcardshot', 'worldbestshotIG', 'positivethoughts', 'portraitmood', 'portraitart', 'footpainsucks']",7.875,levenshtein cluster 433,"['skate', 'snow', 'share', 'bowl', 'snack', 'spicy', 'park', 'stadt', 'nacht']",21.0,,,
community cluster 434,"['frühstück', 'love', 'cheers', 'coffeelover', 'enjoy', 'protein', 'alcohol', 'drinkstagram']",53.0,k mean cluster 434,"['soundhorn', 'soup', 'suv', 'soča', 'suçuk', 'sound', 'issue', 'proud', 'solo', 'touri', 'soul', 'sloul', 'colour', 'ontour', 'zur', 'radtour']",0.0,levenshtein cluster 434,"['bay', 'bar', 'best', 'team', 'brot', 'ocean', 'break', 'urban', 'Graz']",26.25,,,
community cluster 435,"['wandern', 'nature', 'salami', 'enjoy', 'healthyfood', 'snack', 'nosugar', 'break']",50.0,k mean cluster 435,"['paprika', 'mallorca', 'capitalbra', 'workhardplayhard', 'parkplaza', 'rapunzelsalat']",7.5,levenshtein cluster 435,"['trees', 'green', 'bye', 'bier', 'krk', 'break', 'beats', 'meat', 'brand']",17.5,,,
community cluster 436,"['cake', 'photography', 'snacks', 'icetea', 'party', 'enjoy', 'matcha', 'yummy']",62.0,k mean cluster 436,"['newproduct', 'newyorkcity', 'newprojects']",6.5,levenshtein cluster 436,"['benq', 'red', 'uk', 'blue', 'break', 'bbq', 'brrrt', 'black', 'ikea']",15.75,,,
community cluster 437,"['cocktail', 'bbq', 'love', 'cocktailbar', 'cocktails', 'bar', 'handmade', 'fruits']",49.0,k mean cluster 437,"['ridderheims', 'weddingdress', 'haidenspass', 'hiddengem', 'hiddenplaces']",6.875,levenshtein cluster 437,"['memes', 'süßes', 'pumps', 'trees', 'moments', 'bestes', 'see', 'pumpkin', 'meat']",17.5,,,
community cluster 438,"['köstlichkeiten', 'christmas', 'catsofinstagram', 'party', 'food', 'drink', 'cat', 'alcohol']",43.0,k mean cluster 438,"['logitechmxmaster', 'buschenschankgehtimmer', 'deinegeschichtezählt', 'benicetoeachother', 'bestemitarbeiter', 'besterarbeitgeber', 'tasteslikesummer', 'weilihreseuchwertseid', 'weltcuphinterstoder', 'texteschreiben', 'texteschreiber', 'deutschesbier']",6.0,levenshtein cluster 438,"['mut', 'best', 'nye', 'bowl', 'tee', 'brot', 'new', 'diy', 'bbq']",28.0,,,
community cluster 439,"['frühstück', 'love', 'party', 'coffeelover', 'salami', 'healthyfood', 'protein', 'snack']",58.0,k mean cluster 439,"['filmrig', 'challenge', 'newchallenge', 'chillmood', 'chillin', 'chillaxing']",12.5,levenshtein cluster 439,"['wow', 'jan', 'dec', 'lgbt', 'krk', 'vibe', 'bbq', 'eis', 'dog']",18.375,,,
community cluster 440,"['photooftheday', 'wood', 'wandern', 'party', 'snacks', 'instagood', 'fashion', 'break']",57.0,k mean cluster 440,[],0.0,levenshtein cluster 440,"['job', 'jp', 'blog', 'pop', 'lgbtq', 'band', 'bier', 'see', 'bbq']",16.625,,,
community cluster 441,"['japan', 'party', 'cake', 'icetea', 'food', 'yummy']",60.0,k mean cluster 441,['krimihelden'],1.875,levenshtein cluster 441,"['atp', 'mut', 'uae', 'a7s', 'usa', 'c4d', 'bbq', 'dji', 'dxb']",13.125,,,
community cluster 442,"['friends', 'cocktail', 'catsofinstagram', 'bartenderlife', 'cocktails', 'food', 'cat', 'drinks']",54.0,k mean cluster 442,"['geschmacksentdecker', 'lgvsonnengemüse', 'gehedeinenherzensweg', 'reisenreisenreisen', 'redcenterlime']",6.875,levenshtein cluster 442,"['handmade', 'homemade']",14.0,,,
community cluster 443,"['love', 'cheers', 'bar', 'food', 'drink', 'protein', 'alcohol', 'drinkstagram']",55.0,k mean cluster 443,[],0.0,levenshtein cluster 443,"['brunchbox', 'frucht', 'freitag', 'fruity', 'france', 'fruit', 'fruits', 'frauentag', 'brunch']",20.125,,,
community cluster 444,"['cookies', 'banana', 'frühstück', 'healthylifestyle', 'food', 'salami', 'healthyfood', 'snack']",42.0,k mean cluster 444,['bratislava'],1.875,levenshtein cluster 444,"['beachday', 'birthday']",10.5,,,
community cluster 445,"['wandern', 'nature', 'photography', 'instagood', 'food', 'pumpkin', 'fashion', 'break']",78.0,k mean cluster 445,"['calmyourmind', 'followyourdesires', 'changeyourmind', 'eatyourveggies', 'homequarantine', 'countryside', 'youarenotalone']",7.875,levenshtein cluster 445,"['mut', 'bar', 'best', 'nye', 'tee', 'brot', 'new', 'diy', 'dog']",26.25,,,
community cluster 446,"['photooftheday', 'travel', 'wood', 'foodblogger', 'snacks', 'food', 'beautiful', 'art']",65.0,k mean cluster 446,"['traveltheworld', 'TravelIsLife', 'TravelWithMe', 'MyTravelStory', 'travelbucketlist', 'hammertime', 'bravissimo', 'israelleavepalestine', 'travelthroughtheworld', 'deinestimme', 'iceteatime', 'turracherhöhe', 'teeziehtimmer', 'traveldiaries', 'traveldeeper', 'travelawesome', 'travelmore', 'travelmoments', 'travelmemories', 'traveleurope', 'travellife']",0,levenshtein cluster 446,"['mut', 'wow', 'vote', 'bay', 'mare', 'bmw', 'krk', 'musik', 'meow']",18.375,,,
community cluster 447,"['like', 'bartenderlife', 'instadrink', 'cocktails', 'food', 'matcha', 'fruits']",32.625,k mean cluster 447,"['thejacksons', 'jamesbond', 'racoonsquad']",4.875,levenshtein cluster 447,"['mut', 'jan', 'dec', 'lgbt', 'bye', 'kunst', 'mode', 'eis', 'foto']",17.5,,,
community cluster 448,"['travel', 'bartenderlife', 'cider', 'cocktails', 'bar', 'liquor', 'yummy', 'art']",52.0,k mean cluster 448,"['cinedesigner', 'scharfesessen', 'calzedonia', 'lacelessdesign', 'shopdesign', 'shopdesigns']",7.5,levenshtein cluster 448,"['job', 'mut', 'milk', 'cats', 'rost', 'see', 'dusk', 'fruit', 'pure']",17.5,,,
community cluster 449,"['christmas', 'drinks', 'photography', 'apple', 'instagood', 'applecider', 'liquor', 'drinkstagram']",52.0,k mean cluster 449,"['austrianradio', 'lebedeinevision', 'austrianalps', 'sustainability', 'austrianstartup', 'austriancouple', 'sustainablefashion', 'eventorganisation', 'industrialdesign', 'austriatrip', 'austrianature', 'austriareels', 'austriahiking', 'austriamountains', 'austriamountain']",1.875,levenshtein cluster 449,"['öbb', 'mut', 'jp', 'red', 'moon', 'bf', 'usa', 'blue', 'dxb']",12.25,,,
community cluster 450,"['christmas', 'cocktail', 'drinks', 'yummi', 'drink', 'cidergram', 'liquor', 'berries']",40.0,k mean cluster 450,['burgstallerhöhe'],1.875,levenshtein cluster 450,"['atp', 'mut', 'cpu', 'cgi', 'vfx', 'c4d', 'em', 'TOP', 'dji']",10.5,,,
community cluster 451,"['friends', 'catsofinstagram', 'halloween', 'cheers', 'drink', 'cat', 'drinks', 'alcohol']",48.0,k mean cluster 451,"['outdoor', 'sundowner', 'wunderweiber', 'holunder', 'ecuador', 'founder', 'sundown', 'fender', 'hunde', 'hungryspider', 'thunder', 'Sundowner', 'wonder', 'bundaberg', 'fundraiser', 'wiedeń']",0.0,levenshtein cluster 451,"['ligt', 'mut', 'benq', 'metal', 'bts', 'brot', 'new', 'dell', 'trvp']",15.75,,,
community cluster 452,"['friends', 'banana', 'frühstück', 'wandern', 'salami', 'healthyfood', 'tradition', 'break']",48.0,k mean cluster 452,"['everywomanisbeautiful', 'austriaisbeautiful']",3.5,levenshtein cluster 452,"['podcast', 'podcasting']",10.5,,,
community cluster 453,"['friends', 'photooftheday', 'foodblogger', 'landscape', 'forest', 'handmade', 'fashion', 'art']",59.0,k mean cluster 453,"['dreamcametrue', 'breakfastclub', 'breakfastbowls', 'breakfastfood', 'breakfast', 'breakfastlover', 'bürokaffeemaschine']",20.25,levenshtein cluster 453,"['blog', 'blogger', 'band', 'bowl', 'rost', 'rose', 'moda', 'girl', 'soon']",19.25,,,
community cluster 454,"['friends', 'catsofinstagram', 'cake', 'icetea', 'cat', 'yummy', 'berries']",59.625,k mean cluster 454,"['lunchbreakstories', 'podcaststories', 'allesfürdieects', 'alikiskitchenstories', 'Bachelorreise']",6.875,levenshtein cluster 454,"['tester', 'design', 'essen', 'dessert', 'ferien', 'berlin', 'review', 'kessler', 'wasser']",22.75,,,
community cluster 455,"['catsofinstagram', 'frühstück', 'love', 'wandern', 'nature', 'salami', 'healthyfood', 'cat']",68.0,k mean cluster 455,"['chancennutzen', 'hardseltzergermany', 'hundefrauchen', 'ausdemgarten', 'hauseigenergarten', 'sandskulpturen']",7.5,levenshtein cluster 455,"['green', 'best', 'ferien', 'newin', 'team', 'garten', 'new', 'wein', 'beeren']",23.625,,,
community cluster 456,"['christmas', 'photooftheday', 'catsofinstagram', 'cake', 'photography', 'instagood', 'cat', 'fashion']",65.0,k mean cluster 456,"['3drendering', 'dressup', 'dezeen', 'Helden']",7.5,levenshtein cluster 456,"['hotel', 'bar', 'best', 'wood', 'bowl', 'brot', 'new', 'news', 'cold']",27.125,,,
community cluster 457,"['christmas', 'frühstück', 'love', 'wandern', 'christmastime', 'salami', 'healthyfood', 'cat']",57.0,k mean cluster 457,"['view', 'vibe', 'vibey', 'fallvibes', 'olives', 'viral', 'likes', 'video', 'autvibes', 'süßes', 'violet']",11.25,levenshtein cluster 457,"['meow', 'bay', 'vote', 'bye', 'bowl', 'yoga', 'mode', 'dog', 'foto']",20.125,,,
community cluster 458,"['christmas', 'travel', 'bbq', 'hotchocolate', 'art', 'beautiful', 'drinks', 'drinkstagram']",61.0,k mean cluster 458,['ladymechanic'],1.875,levenshtein cluster 458,"['job', 'grow', 'pop', 'moon', 'bowl', 'bier', 'bf', 'blue', 'dose']",14.875,,,
community cluster 459,"['christmas', 'japan', 'cider', 'apple', 'icetea', 'applecider', 'drinks', 'yummy']",45.0,k mean cluster 459,"['noanimalsharmed', 'animalsarefriends', 'noanimalcruelty']",4.875,levenshtein cluster 459,"['linz', 'benq', 'dp', 'a7s', 'xeen', 'bowl', 'team', 'new', 'wein']",21.0,,,
community cluster 460,"['köstlichkeiten', 'cocktail', 'frühstück', 'travel', 'bbq', 'foodblogger', 'coffeelover', 'fashion']",56.0,k mean cluster 460,"['regionaleprodukte', 'regionaleinkaufen', 'EuPrefiroMeuCafeQuente', 'rappenundeistee', 'rappermacheneistee', 'regionaleköstlichkeiten', 'regionalergenuss', 'regionaleraperitif', 'personaltrainerakademie', 'grieskochfürdieseele', 'regionaleunternehmen']",8.125,levenshtein cluster 460,"['snow', 'pool', 'bar', 'cool', 'vote', 'wood', 'brot', 'sport', 'dog']",24.5,,,
community cluster 461,"['cocktail', 'travel', 'love', 'nature', 'cocktails', 'bar', 'deliciousfood', 'drinks']",77.0,k mean cluster 461,"['träumeleben', 'törtchen', 'tramin', 'traumjob', 'trauer', 'tbsummer', 'trauben', 'kräuter', 'bäume', 'Prägungen']",8.25,levenshtein cluster 461,"['great', 'wow', 'bay', 'proud', 'shoot', 'brot', 'krk', 'bmw', 'Graz']",19.25,,,
community cluster 462,"['bbq', 'foodblogger', 'cocktails', 'beautiful', 'handmade', 'landscape', 'fruits', 'art']",46.0,k mean cluster 462,"['sonntagsausflug', 'sonnenbankflavour']",5.25,levenshtein cluster 462,"['photo', 'shots', 'bye', 'brot', 'beats', 'meow', 'foto', 'brand', 'growth']",17.5,,,
community cluster 463,"['cocktail', 'love', 'healthylifestyle', 'cheers', 'drink', 'drinks', 'alcohol', 'drinkstagram']",62.0,k mean cluster 463,"['ginoclock', 'coffeeoclock', 'schminkenimlockdown']",4.875,levenshtein cluster 463,"['job', 'zeit', 'lgbt', 'pop', 'band', 'rose', 'bier', 'brot', 'soon']",17.5,,,
community cluster 464,"['winter', 'photooftheday', 'drinks', 'nature', 'photography', 'instagood', 'healthyfood', 'snack']",80.0,k mean cluster 464,"['zeitersparnis', 'zeitvergeht', 'zeitfuerpflege']",4.875,levenshtein cluster 464,"['duft', 'red', 'boss', 'moon', 'brot', 'bf', 'blue', 'fruit', 'meat']",14.875,,,
community cluster 465,"['detox', 'travel', 'foodblogger', 'instadrink', 'icetea', 'handmade', 'drinks', 'art']",59.0,k mean cluster 465,"['sistertattoo', 'gastgartensaison', 'mariobarthtattoo']",4.875,levenshtein cluster 465,"['glitter', 'winzer', 'wine', 'igers', 'singen', 'ingwer', 'trinken', 'ginger', 'hunger']",22.75,,,
community cluster 466,"['cocktail', 'cider', 'apple', 'bar', 'tee', 'applecider', 'drinks', 'fruits']",33.0,k mean cluster 466,"['visitaustria', 'cbdaustria', '365austria', 'lovesaustria', 'triaustria', 'loveaustria', 'coronaaustria', 'musicaustria']",15.0,levenshtein cluster 466,"['bay', 'bar', 'herz', 'onset', 'wine', 'krk', 'new', 'diy', 'dog']",21.875,,,
community cluster 467,"['cocktail', 'love', 'cheers', 'bar', 'healthyfood', 'drink', 'snack', 'drinkstagram']",60.0,k mean cluster 467,"['sekretöse', 'nuesse', 'preise', 'trieste', 'espresso', 'dress', 'messe', 'terrasse', 'cress', 'impressive']",7.5,levenshtein cluster 467,"['job', 'jan', 'chef', 'bye', 'nike', 'deko', 'new', 'lend', 'eis']",17.5,,,
community cluster 468,"['cocktail', 'instadrink', 'chai', 'icetea', 'bar', 'matcha', 'handmade', 'milktea']",33.0,k mean cluster 468,"['herzensweg', 'herzenswegfolgen', 'getrenntewegegehen']",6.5,levenshtein cluster 468,"['zeit', 'jp', 'pop', 'bier', 'uk', 'new', 'town', 'veli', 'meat']",14.875,,,
community cluster 469,"['like', 'bbq', 'travel', 'love', 'bar', 'drink', 'protein', 'art']",64.0,k mean cluster 469,[],0.0,levenshtein cluster 469,"['öbb', 'atp', 'grow', 'nebel', 'uae', 'bf', 'new', 'usa', 'dxb']",10.5,,,
community cluster 470,"['mixology', 'cheers', 'coffeelover', 'drink', 'nosugar', 'yummy', 'drinkstagram']",45.0,k mean cluster 470,"['zeitfurdich', 'highheelsaddiction']",3.5,levenshtein cluster 470,"['cpu', 'cgi', 'vfx', 'new', 'c4d', 'wein', 'TOP', 'dji', 'ikea']",13.125,,,
community cluster 471,"['healthylifestyle', 'nosugar', 'cheers', 'coffeelover', 'healthyfood', 'drink', 'snack', 'alcohol']",42.0,k mean cluster 471,"['lowcarbfood', 'lowcarbdeutschland', 'globaltravel', 'personalbranding', 'localbusiness', 'femaleband', 'loyaltyapp']",11.25,levenshtein cluster 471,"['repost', 'forest', 'herz', 'best', 'rost', 'herbst', 'horse', 'Repost', 'prost']",22.75,,,
community cluster 472,"['photooftheday', 'winter', 'detox', 'travel', 'photography', 'snacks', 'drink', 'matcha']",60.0,k mean cluster 472,"['naturephotography', 'sunsetphotography', 'portraitphotography', 'studiofotografie', 'blackandwhitephotography', 'boudiorphotography', 'stagephotography', 'stilllifephotography', 'streetartphotography', 'austriaphotography']",13.5,levenshtein cluster 472,"['herbst', 'workout', 'wermut', 'wermouth']",15.0,,,
community cluster 473,"['cider', 'icetea', 'applecider', 'drink', 'handmade', 'yummy', 'drinkstagram']",46.125,k mean cluster 473,"['lastdaysofsummer', 'officialteambossbabe']",3.5,levenshtein cluster 473,"['design', 'herz', 'tee', 'ocean', 'lemon', 'wein', 'news', 'berlin', 'feiern']",24.5,,,
community cluster 474,"['love', 'photography', 'cheers', 'coffeelover', 'healthyfood', 'snack', 'nosugar', 'drinkstagram']",69.0,k mean cluster 474,"['supporteachother', 'supportlocal', 'beesupportive', 'sushiporn', 'stuttgart', 'airport', 'bestsupport']",10.125,levenshtein cluster 474,"['women', 'wow', 'green', 'jan', 'dec', 'ship', 'lend', 'wein', 'meow']",17.5,,,
community cluster 475,"['drinkstagram', 'apple', 'instagood', 'cheers', 'cidergram', 'alcohol', 'berries', 'art']",45.0,k mean cluster 475,"['cheersrost', 'cheesy', 'maschenwerksatt', 'cherry', 'cheese', 'sweets', 'cherries', 'sheesh']",12.0,levenshtein cluster 475,"['jeans', 'kino', 'vino', 'fair', 'deko', 'see', 'wein', 'soon', 'meat']",17.5,,,
community cluster 476,"['snacks', 'cheers', 'handmade', 'healthyfood', 'matcha', 'protein', 'snack', 'alcohol']",33.0,k mean cluster 476,"['spicycocktail', 'bottledcocktail', 'bhutjolokia', 'drinklocal', 'shoplocal']",9.625,levenshtein cluster 476,"['red', 'moon', 'flir', 'wein', 'town', 'em', 'veli', 'dji', 'wald']",12.25,,,
community cluster 477,"['love', 'cake', 'icetea', 'cheers', 'christmastime', 'fruits', 'alcohol', 'berries']",57.0,k mean cluster 477,"['spotifyplaylist', 'shoppingonline']",3.5,levenshtein cluster 477,"['pool', 'best', 'a7s', 'team', 'ikea', 'wein', 'dell', 'ronin', 'trvp']",16.625,,,
community cluster 478,"['love', 'cheers', 'coffeelover', 'healthyfood', 'handmade', 'snack', 'nosugar', 'yummy']",64.0,k mean cluster 478,"['kerzen', 'ferien', 'ketorezepte', 'keramik', 'ckerei', 'herz', 'Jetzt', 'jetzt', 'duftkerze', 'berge', 'Hermes', 'herzen', 'kernöl', 'cerveza']",4.75,levenshtein cluster 478,"['fair', 'herz', 'maxon', 'cherry', 'cairo', 'park', 'energy', 'marry', 'brrrt']",16.625,,,
community cluster 479,"['cookies', 'frühstück', 'love', 'healthylifestyle', 'christmastime', 'hotchocolate', 'healthyfood', 'snack']",51.0,k mean cluster 479,[],0.0,levenshtein cluster 479,"['zeitung', 'opening', 'maxon', 'mixing', 'wedding', 'meeting']",15.0,,,
community cluster 480,"['hiking', 'love', 'wandern', 'instagood', 'salami', 'deliciousfood', 'fashion', 'break']",66.0,k mean cluster 480,"['unionbrauerei', 'wildkaffeerösterei', 'ottakringerbrauerei', 'purkarthofereis', 'vulkanbier']",8.25,levenshtein cluster 480,"['bay', 'best', 'bye', 'health', 'bf', 'ship', 'beauty', 'bhfyp', 'meat']",20.125,,,
community cluster 481,"['photooftheday', 'bbq', 'wood', 'love', 'foodblogger', 'forest', 'landscape', 'art']",59.0,k mean cluster 481,"['international', 'Promotional', 'editions', 'emotionen', 'emotionaleworte', 'tegional', 'emotionalerstress', 'educationforall']",11.0,levenshtein cluster 481,"['gönnung', 'running', 'reading']",13.0,,,
community cluster 482,"['like', 'halloween', 'japan', 'love', 'health', 'coffeelover', 'handmade', 'yummy']",53.0,k mean cluster 482,"['brauwerkwien', 'pumpkin', 'mumokmuseum']",9.75,levenshtein cluster 482,"['repost', 'teatime', 'bar', 'best', 'reels', 'team', 'news', 'sport', 'prost']",25.375,,,
community cluster 483,"['travel', 'halloween', 'photography', 'hotchocolate', 'christmastime', 'fashion', 'art']",68.625,k mean cluster 483,"['instagood', 'instagin', 'ginstagram', 'instadrink', 'pizzagram', 'anittabrazil', 'igeragraz', 'Foodstagram', 'instagay', 'gaystagram', 'foodstagram', 'restaurant', 'instagame', 'wienstagram', 'instamusicians', 'instaguineas', 'petsgram', 'instagraz', 'dasdekagramm', 'cinemagraph', 'catstagram', 'instacat', 'instagramshoes', 'angstvorarmut', 'austriagram', 'artgram', 'bierstagram']",0,levenshtein cluster 483,"['hotel', 'pool', 'water', 'torte', 'tee', 'mate', 'horse', 'cool', 'quotes']",24.5,,,
