community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster,score_multiplied
community cluster 3481,"['accessories', 'signalcolor', 'statement', 'fashionstatement', 'redlove', 'redshoes', 'red', 'redheels']",11,-0.107843137254902,-1.18627450980392
community cluster 3650,"['artlovers', 'kreuzteich', 'artgram', 'naturevideo', 'tragöss', 'sandinthecity', 'hauptplatzgraz', 'austria']",7,-0.169491525423729,-1.1864406779661
community cluster 2467,"['universe', 'qualitytime', 'catlovers', 'sistertattoo', 'tattoo', 'cats', 'repost', 'roots']",21,-0.056603773584906,-1.18867924528302
community cluster 1788,"['gewinnspiel', 'ingwer', 'wochenstart', 'genuss', 'berlin', 'fashion', 'energy']",47.25,-0.025210084033613,-1.19117647058823
community cluster 2109,"['presents', 'breakfast', 'sunrise', 'newyear', 'xmas', 'coffee', 'shooting', 'weekend']",56,-0.021276595744681,-1.19148936170213
community cluster 3721,"['flyingprivate', 'trees', 'naturefreedom', 'madeinaustria', 'naturereels', 'forest', 'treesofinstagram', 'flyingintheclouds']",14,-0.085365853658537,-1.19512195121951
community cluster 3449,"['vatertag2020', 'firstprize', 'redhighheels', 'redheels', 'fathersday2020', 'fathersday']",11.25,-0.107142857142857,-1.20535714285714
community cluster 3579,"['adventuretravel', 'adventuretime', 'summertime', 'travelphotography', 'travel', 'summervibes', 'swimming']",66.375,-0.018181818181818,-1.20681818181818
community cluster 3753,"['naturjuwel', 'cessna152', 'cloudscape', 'natureinaustria', 'clouds', 'cloudsurfing', 'sunfun', 'lakeinstyria']",10,-0.121212121212121,-1.21212121212121
community cluster 3635,"['österreichurlaub', 'cessna152', 'styria', 'österreich', 'madeinaustria', 'österreichliebe']",42.5,-0.028571428571429,-1.21428571428572
community cluster 3165,"['highheelsshoes', 'highheelmadness', 'happyhalloween', 'fashionlover', 'highheelsmurah', 'newstart', 'streetfashion', 'freshstart']",12,-0.101492537313433,-1.21791044776119
community cluster 79,"['nurheute', 'holiday', 'stayhome', 'love', 'graz', 'sunset', 'vacationmode', 'greece']",61,-0.02,-1.22
community cluster 1060,"['plantbased', 'pflanzlich', 'summer', 'summerdrink', 'newdrink', 'alcohol', 'staytuned']",20.25,-0.060439560439561,-1.2239010989011
community cluster 3373,"['fridaymood', 'yellowshoes', 'feetup', 'idontgiveashit', 'instashoestyle', 'fridayfeet', 'feetupfriday', 'fridayfeeling']",10,-0.123076923076923,-1.23076923076923
community cluster 3797,"['freedomlife', 'sauberhalten', 'natureingraz', 'natureshot', 'natureislife', 'schauenwirdrauf', 'naturediscovery', 'nature_lovers']",8,-0.153846153846154,-1.23076923076923
community cluster 3301,"['expensive', 'firstprize', 'costume', 'redhighheels', 'redheels', 'costumedesign']",11.25,-0.109848484848485,-1.23579545454546
community cluster 3478,"['highheelsshoes', 'firstprize', 'highheelsmurah', 'newstart', 'redhighheels', 'freshstart', 'redheels']",11.25,-0.110344827586207,-1.24137931034483
community cluster 3139,"['museumsquartier', 'Pandemie', 'happyhalloween', 'bittersweet', 'vienna', 'Museen', 'austria', 'leopoldmuseum']",22,-0.056818181818182,-1.25
community cluster 3383,"['noshoestoday', 'cinderella', 'influencer', 'cinderellastory', 'first', 'famous', 'fairytale', 'yellowshoes']",10,-0.125,-1.25
community cluster 1017,"['plantbased', 'mango', 'vegan', 'glutenfrei', 'herbst', 'bio', 'erdbeere', 'hamburg']",37,-0.033898305084746,-1.2542372881356
community cluster 3281,"['highheelsshoes', 'heelsaddict', 'heelslover', 'halloween2020', 'highheelsmurah', 'newstart', 'freshstart', 'heels']",11,-0.114705882352941,-1.26176470588235
community cluster 1745,"['wasser', 'vegan', 'genuss', 'rezepte', 'tee', 'kochen', 'summer', 'weekend']",48,-0.026315789473684,-1.26315789473685
community cluster 1983,"['cheersrost', 'soon', 'fresh', 'cheers', 'igersgraz', 'drinkstagram']",56.25,-0.022556390977444,-1.2687969924812
community cluster 2182,"['bromance', 'reflections', 'haha', 'perfectmatch', 'goals', 'cooking', 'motivation', 'drinks']",33,-0.038461538461539,-1.26923076923077
community cluster 3351,"['slowmo', 'slowmotion', 'splash', 'waterbomb', 'shoes2020', 'womenshoes', 'wasserbombe', 'yellowshoes']",9,-0.142857142857143,-1.28571428571429
community cluster 1865,"['strategy', 'herrengasse', 'graz', 'newwork', 'durstlöscher', 'summer', 'innovation']",14.625,-0.088145896656535,-1.28913373860182
community cluster 3140,"['theshowmustgoon', 'lockdown', 'architekturzentrumwien', 'lockdown2020', 'happyhalloween', 'mumokwien', 'mumokmuseum', 'mumok']",17,-0.076086956521739,-1.29347826086957
community cluster 2004,"['ideentriebwerk', 'austrianstartups', 'startupstory', 'startups', 'startupspritzer', 'Startupscenegraz', 'ideentriebwerkgraz', 'igersgraz']",35,-0.037037037037037,-1.2962962962963
community cluster 3397,"['instagramshoes', 'yellowheels', 'stylingshoes', 'myshoestoday', 'stylishshoes', 'shoesofig', 'shoefilicious', 'shoesforwomen']",10,-0.12972972972973,-1.2972972972973
community cluster 1675,"['musikliebe', 'heimatlieder', 'mutigdiewelterobern', 'selstbliebe', 'friede', 'klangbruder', 'jederistmusikalisch', 'bedeutungvonnamen']",9,-0.144927536231884,-1.30434782608696
community cluster 3453,"['bedifferent', 'austrianblogger', 'firstprize', 'redhighheels', 'madeinitaly', 'redheels', 'designedinaustria']",18,-0.072599531615925,-1.30679156908665
community cluster 1653,"['bestemitarbeiter', 'vino', 'podcast', 'team', 'teamspirit', 'notjustapearlchallenge', 'wein']",21.375,-0.061224489795918,-1.30867346938776
community cluster 1307,"['activewear', 'womensday', 'lookoftheday', 'discoverunder10k', 'yoga', 'graz', 'florence', 'creativemind']",17,-0.077114427860697,-1.31094527363184
community cluster 672,"['international', 'montag', 'sweet', 'monday', 'wochenstart', 'österreich', 'genuss', 'austria']",32,-0.041095890410959,-1.31506849315069
community cluster 541,"['limitededition', 'kärnten', 'vegan', 'collab', 'startup', 'easter', 'ostern', 'organic']",52,-0.025490196078431,-1.32549019607843
community cluster 1430,"['delicious', 'kuchen', 'tasty', 'rezepte', 'kochen', 'healthyfood', 'foodie', 'austria']",38,-0.035087719298246,-1.33333333333333
community cluster 2015,"['salzburg', 'salzburgerland', 'coffeelover', 'coffee', 'coffeetime', 'visitsalzburg', 'igerssalzburg', 'salzburgaustria']",34,-0.03921568627451,-1.33333333333333
community cluster 2192,"['blackberries', 'cooperation', 'bigeyes', 'vegandrink', 'glassbottle', 'drinklocal', 'somethingaboutmarry', 'drinks']",20,-0.066666666666667,-1.33333333333333
community cluster 2713,"['newin', 'family', 'fresh', 'selfmade', 'mixing', 'win', 'lifestyle']",41.625,-0.032258064516129,-1.34274193548387
community cluster 3868,"['funtime', 'hood', 'wanda', 'fame', 'super', 'superstar', 'berlin', 'fotoshooting']",12,-0.11231884057971,-1.34782608695652
community cluster 3819,"['miejskadżungla', '2021', 'freestyler', 'halfpipe', 'citylife', 'skate', 'afghanistan', 'austria']",17,-0.079545454545455,-1.35227272727273
community cluster 3657,"['lakeview', 'housemountain', 'followus', 'travellife', 'lakelovers', 'austria', 'bestplaceaustria', 'stradnerkogel']",7,-0.193548387096774,-1.35483870967742
community cluster 145,"['weihnachten', 'music', 'family', 'nacht', 'natur', 'graz', 'diy']",42.75,-0.031746031746032,-1.35714285714286
community cluster 381,"['breakfast', 'happy', 'cake', 'healthy', 'fruits', 'coffee', 'berries']",58.5,-0.023255813953489,-1.36046511627907
community cluster 765,"['womenempowerment', 'femalefounders', 'women', 'girlpower', 'strongwomen', 'graz', 'gastronomie', 'nachhaltigkeit']",24,-0.056818181818182,-1.36363636363636
community cluster 1921,"['Filter', 'Patent', 'COFFEE', 'Coffee', 'Sample', 'brand', 'Factory', 'BagCoffeeMaker']",10,-0.136363636363636,-1.36363636363636
community cluster 1671,"['instrumentenliebe', 'gewinnspiel', 'mutigdiewelterobern', 'maultrommel', 'franzwimner', 'personalisiertekinderlieder', 'wirkungvonmusik', 'liebe']",23,-0.05940594059406,-1.36633663366337
community cluster 3771,"['natureshots', 'natureinspired', 'natureinspiration', 'naturel', 'love', 'naturepic', 'nature_perfection', 'naturinösterreich']",26,-0.052631578947368,-1.36842105263158
community cluster 3494,"['noshoestoday', 'cinderella', 'influencer', 'brandnewshoes', 'cinderellastory', 'first', 'famous', 'redheels']",10,-0.136986301369863,-1.36986301369863
community cluster 2644,"['muttertag', 'sommer', 'mothersday', 'sunday', 'ferien', 'coffeetime', 'kaffee', 'spring']",48,-0.028571428571429,-1.37142857142857
community cluster 2580,"['breakfast', 'frühstück', 'shopping', 'breakfasttime', 'brunch', 'kaffee', 'austria', 'feiern']",35,-0.03921568627451,-1.37254901960784
community cluster 3509,"['designboom', 'designers', 'designmilk', 'designerwear', 'industrialdesign', 'redhighheels', 'dezeen', 'architecturedesign']",9,-0.152542372881356,-1.3728813559322
community cluster 3296,"['noshoestoday', 'cinderella', 'shoebrand', 'brandnewshoes', 'designmilk', 'cinderellastory', 'halloween2020', 'first']",11,-0.125,-1.375
community cluster 3264,"['yellowheels', 'yellowheel', 'heelsonfire', 'halloween2020', 'heels2020', 'yellowhighheels', 'newhighheels', 'highheels2020']",13,-0.106382978723404,-1.38297872340426
community cluster 302,"['welcometothefamily', 'family', 'styria', 'lakes', 'roadtrip', 'achieverofunrealisticshit', 'lafamilia', 'newfamilymember']",37,-0.037383177570094,-1.38317757009346
community cluster 3480,"['statement', 'firstprize', 'fashionstatement', 'redhighheels', 'streetfashion', 'redheels']",11.25,-0.123376623376623,-1.38798701298701
community cluster 1037,"['plantbased', 'new', 'glutenfrei', 'food', 'herbst', 'bio', 'gemüse', 'organic']",41,-0.033898305084746,-1.38983050847458
community cluster 2125,"['lockdown', 'team', 'selfmade', 'frühling', 'couple', 'ostern']",40,-0.034749034749035,-1.38996138996139
community cluster 1452,"['foodphotography', 'homemade', 'foodporn', 'essen', 'foodies', 'kochen', 'foodie', 'followme']",38,-0.036585365853659,-1.39024390243902
community cluster 1842,"['inspiration', 'love', 'igersvienna', 'vacation', 'italy', 'austria']",70,-0.019933554817276,-1.3953488372093
community cluster 3115,"['passage', 'shop', 'zur', 'mut', 'größe', 'diesteirerin', 'teilen', 'memes']",14,-0.1,-1.4
community cluster 550,"['newproduct', 'local', 'handcrafted', 'love', 'summervibes', 'birthday', 'win']",68.625,-0.020408163265306,-1.40051020408164
community cluster 2368,"['fairfashion', 'throwback', 'fair', 'stayhydrated', 'yoga', 'graz', 'igersaustria']",39.375,-0.035714285714286,-1.40625
community cluster 727,"['herzensweg', 'wahrheitleben', 'zitamartus', 'klarheit', 'mut', 'berufung', 'bewusstheit', 'wahrheit']",18,-0.078125,-1.40625
community cluster 730,"['herzensweg', 'glaubandich', 'zitamartus', 'klarheit', 'mut', 'berufung', 'bewusstheit', 'wahrheit']",18,-0.078125,-1.40625
community cluster 2277,"['keepsmiling', 'styria', 'products', 'herrengassegraz', 'fresh', 'puzzle', 'freshdrink', 'picture']",31,-0.045454545454546,-1.40909090909091
community cluster 3870,"['anuncio', 'plakat', 'poster', 'urbanstyle', 'berlin', 'miejski', 'popsinger', 'estilourbano']",10,-0.141509433962264,-1.41509433962264
community cluster 3540,"['genießen', 'entspannen']",14,-0.102040816326531,-1.42857142857143
community cluster 1995,"['winelife', 'roséallday', 'wineoclock', 'vienna', 'healthy', 'win', 'winelover', 'giveaway']",44,-0.032520325203252,-1.43089430894308
community cluster 3242,"['exploretheworld', 'shoesoftheyear', 'firstprize', 'redhighheels', 'handmade', 'redheels']",17.5,-0.081967213114754,-1.4344262295082
community cluster 3794,"['lakeinaustria', 'chillmood', 'lakephotography', 'natureshot', 'travelingram', 'relaxing', 'austriamountain', 'lakegram']",15,-0.095890410958904,-1.43835616438356
community cluster 3363,"['goneswimming', 'fancyshoes', 'shoesofig', 'summervibes', 'shoefan', 'madeinitalyshoes', 'learntoswim', 'yellowshoes']",27,-0.053333333333333,-1.44
community cluster 3319,"['shoeporn', 'photoshoot', 'ootd', 'shoegasm', 'shoesonfire', 'ootdfashion', 'summeroutfit', 'photoshooting']",24,-0.06,-1.44
community cluster 2161,"['handmadewithlove', 'entrepreneur', 'trinkenhilft', 'grimace', 'icetea', 'youngandurban', 'perfectmoment', 'drinkthis']",20,-0.072164948453608,-1.44329896907216
community cluster 1777,"['wochenstart', 'frisch', 'selfmade', 'erdbeeren', 'vegetarisch', 'energy', 'austria', 'netherlands']",24,-0.060606060606061,-1.45454545454545
community cluster 273,"['cargirl', 'bmw', 'austin', 'home', 'styria', 'luxury']",36.25,-0.040178571428572,-1.45647321428571
community cluster 214,"['supporteachother', 'family', 'hikingadventures', 'mountains', 'styria', 'vacation', 'igersaustria', 'memories']",70,-0.020833333333333,-1.45833333333333
community cluster 1244,"['quoteoftheday', 'muttertag', 'corona', 'asianfoodforlife', 'essenszitat', 'teppanyaki']",26.25,-0.055555555555556,-1.45833333333334
community cluster 3805,"['berlinvibes', 'berlinbynight', 'chillaxing', 'chillin', 'relajada', 'chill', 'afghanistan', 'fun']",23,-0.063492063492064,-1.46031746031746
community cluster 2772,"['catlife', 'vienna', 'kittens', 'pets', 'meow', 'kitty', 'kitten', 'instacat']",22,-0.066666666666667,-1.46666666666667
community cluster 2987,"['accessories', 'signalcolor', 'statement', 'newshoes', 'fashionstatement', 'redshoes', 'redhighheels', 'streetfashion']",11,-0.133333333333333,-1.46666666666667
community cluster 528,"['rotbusch', 'lecker', 'yummi', 'tee', 'organic', 'berries', 'rooibos']",36,-0.040816326530612,-1.46938775510204
community cluster 1214,"['quoteoftheday', 'celebrate', 'bhfyp', 'fireworks', 'essenszitat', 'newyearsday', 'teppanyaki']",20.25,-0.072727272727273,-1.47272727272727
community cluster 1687,"['schwarztee', 'mate', 'probieren', 'österreich', 'blacktea', 'zitrone', 'organic', 'erfrischung']",34,-0.043333333333333,-1.47333333333334
community cluster 1557,"['vöcklabruck', 'asiahouse', 'photooftheday']",22.75,-0.064935064935065,-1.47727272727273
community cluster 3697,"['oststeiermark', 'madeinaustria', 'haveaniceday', 'forestlife', 'forestlover', 'naturelife', 'naturegram', 'naturejewels']",12,-0.123287671232877,-1.47945205479452
community cluster 3166,"['statement', 'happyhalloween', 'fashionstatement', 'redlove', 'redshoes', 'redhighheels', 'red', 'redheels']",13,-0.114754098360656,-1.49180327868852
community cluster 2189,"['keepsmiling', 'fresh', 'graz', 'puzzle', 'advertisement', 'drinks', 'freshdrink', 'picture']",25,-0.059701492537313,-1.49253731343284
community cluster 3293,"['insight', 'exclusive', 'shopdesign', 'shopdesigner', 'research', 'halloween2020', 'shopdesigns', 'insights']",11,-0.135802469135802,-1.49382716049383
community cluster 1578,"['nachhaltigkochen', 'konditorei', 'bestchef', 'nachhaltigleben', 'notjustapearlchallenge', 'herz', 'cooking', 'chef']",22,-0.068181818181818,-1.5
community cluster 1357,"['urbanjungle', 'femaleartist', 'rollsroyce', 'womensday', 'health', 'newmusic', 'vocals', 'musicvideo']",21,-0.071428571428571,-1.5
community cluster 697,"['brytiago', 'princesinha', 'sophialoren', 'asolasremix', 'alexrose', 'playdressup', 'reggaeton', 'sertanejo']",9,-0.166666666666667,-1.5
community cluster 3815,"['funtime', 'hood', 'gohanna', 'fame', 'super', 'superstar', 'womanpower', 'afghanistan']",9,-0.166666666666667,-1.5
community cluster 3114,"['teilenerwünscht', 'spreadpositivity', 'vote', 'together', 'share', 'vote2020', 'spreadlove', 'memes']",16,-0.094736842105263,-1.51578947368421
community cluster 3342,"['passage', 'shop', 'designshoes', 'zur', 'mut', 'größe', 'shoesonfire', 'shoplocal']",13,-0.117647058823529,-1.52941176470588
community cluster 1757,"['wasser', 'genuss', 'healthy', 'rezepte', 'kochen', 'berlin', 'summer', 'pure']",30,-0.051282051282051,-1.53846153846154
community cluster 2185,"['effects', 'smile', 'chocolatelover', 'mmmmh', 'magic', 'videoeffects', 'drinks', 'bestnephew']",20,-0.076923076923077,-1.53846153846154
community cluster 2550,"['breakfast', 'friends', 'homemade', 'family', 'relax', 'selfie', 'weekend']",66.375,-0.023255813953489,-1.54360465116279
community cluster 3276,"['instagramshoes', 'stylingshoes', 'myshoestoday', 'stylereport', 'halloween2020', 'stylishshoes', 'shoefilicious', 'shoesforwomen']",11,-0.141333333333333,-1.55466666666667
community cluster 2007,"['charlesswindoll', 'startuphelpingstartups', '74', 'gründerszene', 'inspiration', 'success', 'ideentriebwerkgraz']",21.375,-0.073089700996678,-1.56229235880399
community cluster 3522,"['teilenerwünscht', 'firstprize', 'spreadpositivity', 'vote', 'together', 'share', 'vote2020', 'spreadlove']",15,-0.104166666666667,-1.5625
community cluster 3855,"['afghanwomen', 'undercut', 'styling', 'fritzortner', 'noname', 'vienna', 'bathroom', 'mirwaiswakil']",21,-0.074626865671642,-1.56716417910448
community cluster 1662,"['bernhardott', 'ott', 'notjustapearlchallenge', 'metrocashandcarry', 'wieninger']",8.25,-0.190476190476191,-1.57142857142857
community cluster 701,"['olympia', 'zefelipe', 'cannotbetamed', 'beijhinos', 'wildsoul', 'sertanejo', 'paratodos', 'ouro']",9,-0.175287356321839,-1.57758620689655
community cluster 1971,"['cheersrost', 'ingwer', 'ginger', 'wermut', 'editions', 'drinkstagram', 'cheers', 'wermouth']",29,-0.054545454545455,-1.58181818181818
community cluster 3555,"['schweinsbraten', 'gastroausbildunggraz', 'nachspeise', 'lehrestattleere', 'mitliebegemacht', 'käferbohnensalat', 'brathuhn', 'gefülltepaprika']",12,-0.131868131868132,-1.58241758241758
community cluster 1183,"['quoteoftheday', 'muttertag', 'bhfyp', 'xmas', 'tasty', 'essenszitat', 'newyears', 'teppanyaki']",33,-0.048,-1.584
community cluster 3134,"['happyhalloween2020', 'footpainrelief', 'happyhalloween', 'bestcostumeever', 'nomore', 'footpain', 'bestcostume', 'batcostume']",10,-0.158415841584159,-1.58415841584159
community cluster 3750,"['lakeview', 'cessna152', 'followus', 'summervibes', 'travellife', 'lakelovers', 'naturpur', 'stradnerkogel']",28,-0.056603773584906,-1.58490566037736
community cluster 3076,"['happyhalloween2020', 'batshoe', 'happyhalloween', 'bestcostumeever', 'batshoes', 'bestcostume', 'memes', 'batcostume']",12,-0.13265306122449,-1.59183673469388
community cluster 1934,"['acaibowl', 'origin', 'Nitro', 'offer', 'cybermonday', 'BagCoffeeMaker', 'nitrobaby', 'blackfriday']",9,-0.17741935483871,-1.59677419354839
community cluster 1035,"['plantbased', 'stayhydrated', 'germany', 'hanf', 'herbst', 'wein', 'bio', 'organic']",32,-0.05,-1.6
community cluster 3372,"['newstyle', 'fashionstyle', 'newstory', 'yellowshoes', 'fashioninspo', 'dressup', 'fashionable', 'lifestyle']",16,-0.1,-1.6
community cluster 3179,"['noshoestoday', 'designboom', 'shoebrand', 'designers', 'brandnewshoes', 'designmilk', 'happyhalloween', 'dezeen']",10,-0.16,-1.6
community cluster 1517,"['ringana', 'sunshine', 'vegan', 'blogger', 'natur', 'steiermark', 'sofree', 'weekend']",69,-0.023255813953489,-1.6046511627907
community cluster 3683,"['lakephotography', 'styria', 'austriahiking', 'schladming2021', 'travelingram', 'austriamountains', 'styriatravel', 'lakegram']",23,-0.069767441860465,-1.6046511627907
community cluster 3658,"['summerlove', 'summer20121', 'hochwurzenhütte', 'ralaxing', '30grad', 'swimming', 'austria', 'summerfun']",10,-0.160714285714286,-1.60714285714286
community cluster 1925,"['espresso', 'mixology', 'kunsthauscafe', 'espressomartini', 'inaustria', 'graz', 'BagCoffeeMaker', 'martini']",10,-0.161290322580645,-1.61290322580645
community cluster 3592,"['adventure', 'summer2021', 'adventuretime', 'traveling', 'mountain', 'travelingram']",30,-0.054054054054054,-1.62162162162162
community cluster 2985,"['explore', 'experience', 'niedagewesen', 'heelslover', 'walking', 'gefühl', 'newshoes', 'heels']",13,-0.125,-1.625
community cluster 2822,"['besteschwester', 'sister', 'ship', 'vienna', 'onenightout', 'lights', 'schiff', 'meliavienna']",22,-0.074074074074074,-1.62962962962963
community cluster 2998,"['insight', 'exclusive', 'architecturelovers', 'shopdesign', 'shopdesigner', 'shopdesigns', 'insights', 'newshoes']",9,-0.181286549707602,-1.63157894736842
community cluster 942,"['bewusstessen', 'bowl', 'vegan', 'ferien', 'startup', 'healthyfood', 'sugarfree', 'veganfood']",58,-0.028169014084507,-1.6338028169014
community cluster 2134,"['inspiration', 'österreich', 'sunday', 'happysunday', 'frühling', 'ostern', 'spring']",59.625,-0.027472527472527,-1.63804945054945
community cluster 1717,"['probieren', 'erfrischend', 'lecker', 'vegan', 'fruchtig', 'getränke', 'trinken', 'tasting']",41,-0.04,-1.64
community cluster 3688,"['lakeview', 'summer20121', 'summertime', 'styria', 'followus', 'travellife', 'lakelovers', 'summerfun']",29,-0.056603773584906,-1.64150943396226
community cluster 1771,"['international', 'monday', 'wasser', 'vegan', 'österreich', 'lemon', 'zitrone', 'pure']",40,-0.041095890410959,-1.64383561643836
community cluster 2218,"['wholefruit', 'bigeyes', 'juicy', 'partnerincrime', 'secret', 'verrücktnachbarry', 'delicous', 'drinkandfun']",10,-0.164383561643836,-1.64383561643836
community cluster 3420,"['yellowheel', 'heelsonfire', 'firstprize', 'redhighheels', 'yellowhighheels', 'redheels']",11.25,-0.146825396825397,-1.65178571428571
community cluster 3814,"['goodnight', 'lockdown', 'piosenkarka', 'cover', 'vocals', 'repost', 'afghanistan', 'sunglasses']",25,-0.066666666666667,-1.66666666666667
community cluster 3525,"['insight', 'designshoes', 'firstprize', 'shopdesign', 'shopdesigner', 'designforlife', 'shoeshop', 'discover']",10,-0.166666666666667,-1.66666666666667
community cluster 3613,"['artlovers', 'kreuzteich', 'artgram', 'tragöss', 'steiermark', 'outdoor', 'lake', 'naturevideo']",29,-0.057692307692308,-1.67307692307692
community cluster 1481,"['foodphotography', 'foodlover', 'foodiesofinstagram', 'desserts', 'foodlovers', 'motivation', 'beauty', 'art']",46,-0.036585365853659,-1.68292682926829
community cluster 1893,"['specialtycoffee', 'wine', 'ingwer', 'ginger', 'wermut', 'bloomspecialtycoffee', 'coldbrewcoffee', 'summer']",19,-0.088607594936709,-1.68354430379747
community cluster 3597,"['adventure', 'summerlove', 'adventuretime', 'relaxing', 'landscape', 'goodlife']",31.25,-0.054054054054054,-1.68918918918919
community cluster 2214,"['keepsmiling', 'partnerincrime', 'graz', 'random', 'startuplife', 'puzzle', 'advertisement', 'snapshot']",15,-0.112676056338028,-1.69014084507042
community cluster 604,"['fridaymood', 'happyweekend', 'sundowner', 'foodblogger', 'mondaymood', 'cake', 'austria', 'horse']",26,-0.065573770491803,-1.70491803278688
community cluster 3557,"['vogerlsalat', 'frisch', 'mitliebegemacht', 'velofood', 'tomaten', 'rapunzelsalatausdemgarten', 'frischgekocht', 'rapunzelsalat']",13,-0.131578947368421,-1.71052631578947
community cluster 953,"['bewusstessen', 'bowl', 'vegan', 'brotbacken', 'startup', 'healthyfood', 'vegetarisch', 'veganfood']",61,-0.028169014084507,-1.71830985915492
community cluster 901,"['frühstück', 'kürbis', 'polenta', 'mahlzeit', 'esseningraz', 'tarte', 'lavendel', 'igersaustria']",35,-0.049180327868852,-1.72131147540983
community cluster 1567,"['interiordesign', 'murinsel', 'design', 'geschenke', 'graz', 'kids', 'summer', 'fotoderwochegraz']",17,-0.10126582278481,-1.72151898734177
community cluster 2980,"['highheelslover', 'pumpshoe', 'stylereport', 'highheel', 'highheelsaddiction', 'pumpshoes', 'newshoes', 'shoefilicious']",9,-0.191549295774648,-1.72394366197183
community cluster 3580,"['summerlove', 'summer', 'traveling', 'mountain', 'travelingram', 'goodlife', 'hotel', 'summerstyle']",18,-0.096153846153846,-1.73076923076923
community cluster 1976,"['cheersrost', 'wermut', 'editions', 'drinkstagram', 'cheers', 'igersgraz', 'localbusiness', 'wermouth']",47,-0.037037037037037,-1.74074074074074
community cluster 156,"['sekretöse', 'networking', 'antsboss', 'dervierender', 'ameizing', 'bruckandermur', 'weinerei', 'catsday']",12,-0.145161290322581,-1.74193548387097
community cluster 3346,"['designboom', 'designers', 'designerwear', 'industrialdesign', 'shoesonfire', 'dezeen', 'designinterior', 'architecturedesign']",9,-0.193548387096774,-1.74193548387097
community cluster 1026,"['plantbased', 'herbst', 'fitness', 'summerdrink', 'glutenfrei', 'healthyfood', 'gemüse', 'organic']",35,-0.05,-1.75
community cluster 1929,"['letscelebrate', 'localbrand', 'BagCoffeeMaker', 'win', '15percentoff', 'winelover', 'localbusiness', 'internatinalcoffeeday']",24,-0.073170731707317,-1.75609756097561
community cluster 3621,"['housemountain', 'naturephoto', 'followus', 'steiermark', 'travellife', 'lakelovers', 'bestplaceaustria', 'stradnerkogel']",24,-0.073170731707317,-1.75609756097561
community cluster 1782,"['hitze', 'urlaub', 'genuss', 'frisch', 'rezepte', 'lemon', 'zitrone']",28.125,-0.0625,-1.7578125
community cluster 2879,"['coolshoesby', 'firstprize', 'dontworrybehappy', 'redhighheels', 'attitude', 'highheelsneaker', 'redheels']",11.25,-0.15625,-1.7578125
community cluster 3871,"['music', 'funny', '2021', 'freestyler', 'teaser', 'newmusic', 'bloopers', 'berlin']",23,-0.076923076923077,-1.76923076923077
community cluster 1577,"['innereien', 'gutpurbach', 'biber', 'frosch', 'maxstiegl', 'notjustapearlchallenge', 'herz', 'innereienküche']",11,-0.161290322580645,-1.7741935483871
community cluster 2300,"['urbanjungle', 'popmusic', 'femaleartist', 'rollsroyce', 'cover', 'citylife', 'vocals', 'musicvideo']",21,-0.084507042253521,-1.77464788732394
community cluster 1424,"['vanille', 'sunshine', 'lecker', 'happyday', 'nice', 'food', 'austria', 'weekend']",50,-0.035555555555556,-1.77777777777778
community cluster 3308,"['yellowheels', 'shoesonfire', 'redhighheels', 'wedgesshoes', 'redheels', 'wedges', 'yellowshoes']",14.625,-0.121951219512195,-1.78353658536585
community cluster 3310,"['yellowheels', 'wedge', 'wedgeshoes', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",14.625,-0.121951219512195,-1.78353658536585
community cluster 2737,"['wonderful', 'relaxing', 'goldenhour', 'mood', 'snapshot', 'sea', 'swimming', 'dusk']",33,-0.054545454545455,-1.8
community cluster 2279,"['blackberries', 'gin', 'cooperation', 'bigeyes', 'styria', 'glassbottle', 'vegandrink', 'somethingaboutmarry']",27,-0.066666666666667,-1.8
community cluster 1126,"['quoteoftheday', 'muttertag', 'sushi', 'sushiforlife', 'asianfoodforlife', 'essenszitat', 'teppanyaki']",24.75,-0.072727272727273,-1.8
community cluster 3745,"['lakeinaustria', 'cessna152', 'chillmood', 'lakephotography', 'relaxing', 'austriamountain', 'lakegram', 'mountainlove']",15,-0.12,-1.8
community cluster 735,"['herzensweg', 'glaubandich', 'soundhorn', 'zitamartus', 'klarheit', 'selbstliebe', 'bewusstheit', 'wahrheit']",17,-0.106060606060606,-1.8030303030303
community cluster 1710,"['fruity', 'erfrischend', 'sommer', 'fresh', 'wochenende', 'friday', 'beeren', 'freitag']",37,-0.048780487804878,-1.80487804878049
community cluster 2829,"['lovefotography', 'sightseeing', 'takeabreak', 'ontour', 'england', 'vienna', 'wonderfultime', 'red']",26,-0.069444444444445,-1.80555555555556
community cluster 1432,"['goodmorning', 'cute', 'lockdown', 'smile', 'shots', 'insta', 'fashion', 'austria']",40,-0.045454545454546,-1.81818181818182
community cluster 3208,"['firstfashionista', 'yellowheels', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18,-0.101123595505618,-1.82022471910112
community cluster 2309,"['wienliebe', 'urbanjungle', 'femaleartist', 'influencer', 'rollsroyce', 'citylife', 'vienna', 'musicvideo']",34,-0.053571428571429,-1.82142857142857
community cluster 3479,"['highheelmadness', 'firstprize', 'fashionlover', 'redhighheels', 'streetfashion', 'redheels']",13.75,-0.13265306122449,-1.82397959183673
